Date,Sale_ID,Offer_ID,Offer_description,Product_ID,Product_category,Quantity_sold,Sales,Cost_Price,Profit,Customer_ID,Region,Day_of_the_week,Season
11/19/2023,1057,5005,20% off,P092,Furniture,8,4372.4,3724.4,648,C410,South,Tuesday,Spring
02/24/2023,1058,5005,20% off,P023,Toys,8,3261.12,2562.96,698.16,C052,South,Sunday,Spring
08/22/2023,1059,5003,30% off,P086,Toys,9,3809.43,3634.2,175.23,C610,East,Sunday,Winter
11/10/23,1060,5003,30% off,P071,Furniture,3,1505.22,1342.05,163.17,C762,West,Thursday,Autumn
05/07/23,1061,5000,Free Shipping,P063,Clothing,5,2476.8,2028.25,448.55,C451,North,Saturday,Autumn
05/01/23,1062,5001,Buy 1 Get 1,P041,Toys,2,355.44,331.64,23.8,C142,South,Tuesday,Winter
12/22/2023,1063,5005,20% off,P009,Furniture,7,1154.79,851.83,302.96,C339,West,Thursday,Spring
04/16/2023,1064,5003,30% off,P099,Toys,1,497.04,410.83,86.21,C878,West,Thursday,Spring
06/30/2023,1065,5003,30% off,P054,Toys,9,584.73,120.69,464.04,C820,South,Thursday,Summer
05/20/2023,1066,5003,30% off,P004,Furniture,6,1425.12,1287.18,137.94,C685,West,Saturday,Summer
08/28/2023,1067,5000,Free Shipping,P069,Electronics,7,722.05,481.11,240.94,C607,North,Monday,Winter
03/11/23,1068,5005,20% off,P007,Groceries,7,3535.21,3304.21,231,C336,South,Thursday,Autumn
06/22/2023,1069,5001,Buy 1 Get 1,P097,Furniture,5,1674.05,1321.05,353,C855,North,Thursday,Spring
10/04/23,1070,5001,Buy 1 Get 1,P029,Electronics,1,285.39,188.18,97.21,C773,North,Tuesday,Summer
01/11/23,1071,5005,20% off,P031,Clothing,8,4060.24,3852.8,207.44,C686,North,Friday,Summer
08/27/2023,1072,5001,Buy 1 Get 1,P022,Toys,10,2844.4,2536.5,307.9,C987,North,Sunday,Summer
06/09/23,1073,5000,Free Shipping,P004,Groceries,10,1542.2,1495.7,46.5,C694,West,Thursday,Summer
02/08/23,1074,5005,20% off,P014,Groceries,10,3594.6,3086.9,507.7,C825,North,Sunday,Spring
06/27/2023,1075,5003,30% off,P085,Groceries,2,127.62,70.44,57.18,C519,East,Monday,Winter
09/08/23,1076,5003,30% off,P047,Furniture,3,1439.31,1365.15,74.16,C446,South,Saturday,Autumn
11/12/23,1077,5003,30% off,P060,Furniture,10,1304.6,810,494.6,C275,East,Sunday,Summer
02/14/2023,1078,5003,30% off,P032,Furniture,10,5179.3,4929.7,249.6,C625,West,Wednesday,Spring
09/11/23,1079,5005,20% off,P063,Clothing,6,2494.5,2036.1,458.4,C817,East,Wednesday,Autumn
11/02/23,1080,5000,Free Shipping,P002,Toys,4,798.12,505.76,292.36,C088,South,Saturday,Winter
09/08/23,1081,5005,20% off,P089,Furniture,8,2030.48,1521.68,508.8,C459,North,Monday,Autumn
04/24/2023,1082,5005,20% off,P040,Toys,6,2246.82,1922.58,324.24,C485,East,Thursday,Autumn
06/30/2023,1083,5001,Buy 1 Get 1,P040,Groceries,4,551.72,216.96,334.76,C124,South,Wednesday,Spring
10/02/23,1084,5005,20% off,P028,Furniture,5,933.25,835.9,97.35,C742,East,Monday,Summer
06/01/23,1085,5001,Buy 1 Get 1,P023,Groceries,1,89.48,29.98,59.5,C726,South,Wednesday,Spring
01/28/2023,1086,5001,Buy 1 Get 1,P090,Clothing,8,2757.2,2736.08,21.12,C106,North,Friday,Autumn
08/29/2023,1087,5003,30% off,P044,Clothing,1,284.35,260.93,23.42,C259,West,Monday,Spring
07/25/2023,1088,5002,10% off,P074,Electronics,3,1033.17,978.39,54.78,C153,East,Monday,Summer
03/02/23,1089,5003,30% off,P078,Toys,10,3878.5,3485.6,392.9,C232,West,Thursday,Winter
06/02/23,1090,5003,30% off,P040,Toys,10,4836.1,4690,146.1,C062,North,Sunday,Summer
11/17/2023,1091,5001,Buy 1 Get 1,P085,Electronics,3,568.05,531.36,36.69,C246,South,Friday,Spring
03/22/2023,1092,5003,30% off,P058,Toys,8,4407.68,3704.8,702.88,C299,North,Tuesday,Autumn
12/28/2023,1093,5003,30% off,P010,Clothing,5,1013.65,681.95,331.7,C807,South,Thursday,Spring
10/06/23,1094,5005,20% off,P035,Clothing,2,932.8,820.88,111.92,C062,South,Sunday,Autumn
11/01/23,1095,5001,Buy 1 Get 1,P057,Electronics,8,2355.76,2156.24,199.52,C706,East,Saturday,Winter
05/20/2023,1096,5000,Free Shipping,P064,Furniture,2,290.88,111.24,179.64,C613,North,Thursday,Autumn
11/06/23,1097,5002,10% off,P012,Clothing,10,5148.8,4512,636.8,C602,North,Sunday,Autumn
10/23/2023,1098,5005,20% off,P061,Toys,8,1693.52,1408.96,284.56,C939,East,Tuesday,Winter
11/22/2023,1099,5002,10% off,P061,Groceries,7,3188.71,2560.04,628.67,C342,East,Saturday,Spring
03/24/2023,1100,5003,30% off,P089,Furniture,5,2614.4,2223.35,391.05,C679,West,Sunday,Spring
08/21/2023,1101,5001,Buy 1 Get 1,P033,Groceries,2,667.86,649.2,18.66,C994,West,Sunday,Spring
12/03/23,1102,5003,30% off,P053,Electronics,4,716.64,356.8,359.84,C531,East,Friday,Winter
11/17/2023,1103,5002,10% off,P027,Groceries,9,2781.54,2764.35,17.19,C135,East,Thursday,Winter
03/04/23,1104,5000,Free Shipping,P031,Clothing,5,632.05,298.6,333.45,C565,North,Friday,Winter
02/17/2023,1105,5002,10% off,P060,Electronics,3,88.2,37.44,50.76,C511,East,Friday,Autumn
08/01/23,1106,5003,30% off,P032,Furniture,9,3135.42,2509.92,625.5,C149,West,Tuesday,Summer
02/05/23,1107,5003,30% off,P044,Toys,5,1763.3,1647.3,116,C841,North,Wednesday,Autumn
10/28/2023,1108,5003,30% off,P020,Furniture,9,3451.14,3230.73,220.41,C496,East,Wednesday,Winter
08/22/2023,1109,5005,20% off,P090,Clothing,10,2443.5,1694.5,749,C393,South,Sunday,Winter
01/23/2023,1110,5003,30% off,P091,Furniture,7,2893.73,2298.24,595.49,C680,South,Thursday,Spring
03/06/23,1111,5000,Free Shipping,P043,Electronics,8,3115.92,2657.84,458.08,C103,West,Monday,Summer
07/29/2023,1112,5002,10% off,P061,Groceries,6,559.8,335.4,224.4,C639,West,Saturday,Spring
06/18/2023,1113,5003,30% off,P041,Furniture,9,1485.9,1259.55,226.35,C037,North,Tuesday,Autumn
04/27/2023,1114,5003,30% off,P013,Electronics,8,4213.6,3894.24,319.36,C171,East,Monday,Spring
06/16/2023,1115,5001,Buy 1 Get 1,P046,Groceries,7,3574.06,3129.7,444.36,C150,South,Friday,Winter
10/17/2023,1116,5005,20% off,P023,Electronics,10,4502.2,3994.6,507.6,C892,West,Friday,Summer
09/12/23,1117,5005,20% off,P030,Furniture,5,1712.2,1463.4,248.8,C471,East,Saturday,Spring
08/27/2023,1118,5000,Free Shipping,P021,Electronics,8,1425.52,845.36,580.16,C968,East,Friday,Autumn
11/24/2023,1119,5001,Buy 1 Get 1,P059,Groceries,4,603.96,590.32,13.64,C394,West,Monday,Summer
07/15/2023,1120,5001,Buy 1 Get 1,P074,Groceries,5,1724.05,1631.4,92.65,C023,West,Wednesday,Spring
10/17/2023,1121,5000,Free Shipping,P096,Furniture,5,2831.3,2354.1,477.2,C795,South,Friday,Autumn
04/23/2023,1122,5000,Free Shipping,P033,Clothing,2,991.86,916.56,75.3,C926,North,Wednesday,Winter
01/18/2023,1123,5001,Buy 1 Get 1,P094,Clothing,2,220.94,35.14,185.8,C932,East,Wednesday,Winter
03/31/2023,1124,5005,20% off,P070,Groceries,9,2848.59,1978.29,870.3,C514,East,Sunday,Summer
05/12/23,1125,5001,Buy 1 Get 1,P096,Groceries,2,1135.24,964.34,170.9,C480,North,Tuesday,Summer
12/13/2023,1126,5000,Free Shipping,P047,Electronics,7,1353.8,1079.96,273.84,C015,East,Friday,Spring
08/21/2023,1127,5001,Buy 1 Get 1,P075,Furniture,6,2756.64,2562.36,194.28,C111,South,Thursday,Spring
11/14/2023,1128,5001,Buy 1 Get 1,P079,Clothing,2,298.34,186.1,112.24,C651,West,Saturday,Autumn
11/29/2023,1129,5002,10% off,P018,Electronics,1,538.63,468.72,69.91,C312,West,Monday,Spring
05/01/23,1130,5005,20% off,P050,Furniture,6,1799.7,1735.98,63.72,C687,West,Friday,Summer
08/01/23,1131,5003,30% off,P079,Furniture,5,2051.85,1556.75,495.1,C034,East,Tuesday,Winter
08/16/2023,1132,5001,Buy 1 Get 1,P013,Groceries,9,1178.55,707.76,470.79,C924,East,Monday,Winter
05/22/2023,1133,5002,10% off,P059,Electronics,4,2057,1759.64,297.36,C658,North,Monday,Autumn
05/05/23,1134,5000,Free Shipping,P027,Electronics,9,3798.81,3163.86,634.95,C213,South,Sunday,Summer
06/18/2023,1135,5000,Free Shipping,P001,Groceries,3,648.66,558.45,90.21,C134,East,Sunday,Summer
02/26/2023,1136,5005,20% off,P002,Groceries,4,1951.16,1626.36,324.8,C603,East,Monday,Summer
05/16/2023,1137,5005,20% off,P095,Furniture,9,4736.52,3913.83,822.69,C117,North,Thursday,Winter
07/05/23,1138,5000,Free Shipping,P014,Furniture,9,2800.89,2345.04,455.85,C227,North,Saturday,Autumn
08/23/2023,1139,5002,10% off,P062,Furniture,7,3265.57,2808.12,457.45,C703,North,Thursday,Winter
02/07/23,1140,5001,Buy 1 Get 1,P078,Clothing,2,867.48,707.92,159.56,C130,East,Friday,Autumn
07/15/2023,1141,5000,Free Shipping,P038,Furniture,9,4325.04,4014.9,310.14,C620,West,Monday,Spring
12/02/23,1142,5005,20% off,P056,Furniture,4,817.36,776.16,41.2,C424,East,Sunday,Winter
07/24/2023,1143,5002,10% off,P041,Furniture,6,1787.52,1760.16,27.36,C682,East,Wednesday,Summer
12/18/2023,1144,5002,10% off,P012,Electronics,2,585.72,476.28,109.44,C443,North,Saturday,Autumn
03/08/23,1145,5002,10% off,P076,Toys,9,1889.1,1353.69,535.41,C338,North,Thursday,Autumn
12/07/23,1146,5002,10% off,P037,Toys,5,148.25,124.75,23.5,C361,North,Friday,Summer
03/21/2023,1147,5005,20% off,P014,Groceries,9,4047.57,3717.63,329.94,C377,North,Sunday,Autumn
10/21/2023,1148,5003,30% off,P072,Toys,10,1249.6,722.6,527,C692,North,Friday,Autumn
01/15/2023,1149,5001,Buy 1 Get 1,P090,Groceries,6,2458.02,2323.8,134.22,C360,North,Tuesday,Summer
10/17/2023,1150,5002,10% off,P019,Electronics,2,649.34,630.44,18.9,C765,South,Thursday,Winter
08/21/2023,1151,5005,20% off,P048,Groceries,6,533.52,211.92,321.6,C796,North,Monday,Summer
03/22/2023,1152,5002,10% off,P087,Electronics,5,1695.1,1374.55,320.55,C454,West,Thursday,Winter
08/01/23,1153,5005,20% off,P097,Toys,2,926.78,731.56,195.22,C354,West,Monday,Autumn
12/14/2023,1154,5003,30% off,P068,Groceries,1,295.96,262.99,32.97,C226,West,Friday,Spring
01/04/23,1155,5001,Buy 1 Get 1,P028,Clothing,5,2137.25,1998.2,139.05,C297,East,Monday,Spring
09/12/23,1156,5005,20% off,P017,Furniture,9,2104.83,2025.9,78.93,C721,South,Friday,Autumn
02/06/23,1157,5002,10% off,P056,Electronics,8,949.76,179.36,770.4,C944,North,Sunday,Autumn
10/22/2023,1158,5000,Free Shipping,P052,Furniture,5,2447.65,2098.15,349.5,C118,West,Monday,Autumn
03/29/2023,1159,5003,30% off,P089,Groceries,2,457.1,420.78,36.32,C448,North,Tuesday,Winter
10/29/2023,1160,5000,Free Shipping,P011,Furniture,5,562.1,433.25,128.85,C764,East,Tuesday,Autumn
03/28/2023,1161,5000,Free Shipping,P082,Electronics,9,3157.74,2512.08,645.66,C523,South,Sunday,Autumn
06/29/2023,1162,5005,20% off,P014,Clothing,5,1811.05,1667.5,143.55,C203,South,Friday,Summer
12/02/23,1163,5005,20% off,P099,Furniture,8,4415.44,3823.04,592.4,C773,West,Saturday,Autumn
11/18/2023,1164,5005,20% off,P057,Electronics,8,2745.52,2253.04,492.48,C453,East,Sunday,Autumn
10/30/2023,1165,5001,Buy 1 Get 1,P065,Electronics,5,1205.65,1078,127.65,C473,West,Monday,Spring
07/08/23,1166,5002,10% off,P083,Electronics,10,2604.6,1844.3,760.3,C609,West,Thursday,Spring
08/19/2023,1167,5005,20% off,P042,Toys,8,236.32,136.4,99.92,C514,South,Monday,Winter
02/22/2023,1168,5002,10% off,P065,Clothing,1,37.57,32.54,5.03,C254,West,Thursday,Summer
07/06/23,1169,5001,Buy 1 Get 1,P050,Furniture,6,2999.04,2575.08,423.96,C696,North,Sunday,Autumn
02/03/23,1170,5002,10% off,P072,Furniture,5,1265.2,1211.75,53.45,C259,South,Wednesday,Spring
10/26/2023,1171,5001,Buy 1 Get 1,P040,Furniture,3,896.28,752.67,143.61,C610,North,Wednesday,Winter
11/26/2023,1172,5005,20% off,P086,Toys,2,277.64,189.74,87.9,C662,West,Friday,Autumn
01/10/23,1173,5001,Buy 1 Get 1,P024,Clothing,6,1603.44,1231.62,371.82,C971,West,Tuesday,Summer
03/12/23,1174,5002,10% off,P038,Electronics,9,2940.21,2890.8,49.41,C790,North,Saturday,Autumn
11/13/2023,1175,5000,Free Shipping,P049,Clothing,3,769.56,580.68,188.88,C186,South,Saturday,Winter
01/23/2023,1176,5001,Buy 1 Get 1,P087,Clothing,8,2738.64,2052.32,686.32,C626,East,Sunday,Winter
04/30/2023,1177,5005,20% off,P040,Furniture,4,1399.56,1331.04,68.52,C377,West,Thursday,Autumn
07/15/2023,1178,5000,Free Shipping,P054,Clothing,4,436.72,178.32,258.4,C821,South,Sunday,Autumn
01/27/2023,1179,5001,Buy 1 Get 1,P071,Electronics,9,737.82,206.91,530.91,C872,North,Wednesday,Spring
03/24/2023,1180,5003,30% off,P066,Clothing,7,3700.76,3294.97,405.79,C094,South,Sunday,Winter
06/28/2023,1181,5003,30% off,P007,Furniture,9,2384.01,1801.8,582.21,C383,South,Thursday,Spring
07/11/23,1182,5002,10% off,P041,Electronics,6,1737.36,1407.24,330.12,C811,South,Tuesday,Spring
05/27/2023,1183,5005,20% off,P098,Furniture,8,4084.32,3770.56,313.76,C631,North,Monday,Spring
05/12/23,1184,5005,20% off,P071,Toys,9,5144.49,4328.82,815.67,C434,North,Sunday,Autumn
05/02/23,1185,5002,10% off,P007,Clothing,7,796.67,741.58,55.09,C655,West,Monday,Spring
09/13/2023,1186,5000,Free Shipping,P003,Toys,10,621.8,593.8,28,C248,South,Wednesday,Winter
01/01/23,1187,5001,Buy 1 Get 1,P031,Toys,7,874.3,393.96,480.34,C192,North,Friday,Autumn
02/04/23,1188,5000,Free Shipping,P065,Toys,9,697.14,403.92,293.22,C021,West,Sunday,Winter
01/23/2023,1189,5001,Buy 1 Get 1,P033,Electronics,6,2563.74,2543.94,19.8,C808,North,Wednesday,Summer
12/03/23,1190,5000,Free Shipping,P095,Groceries,3,1313.97,1227.27,86.7,C046,East,Friday,Autumn
11/26/2023,1191,5003,30% off,P090,Furniture,3,413.64,203.7,209.94,C831,South,Monday,Winter
01/19/2023,1192,5005,20% off,P006,Clothing,1,406.05,318.18,87.87,C324,East,Friday,Winter
10/06/23,1193,5001,Buy 1 Get 1,P005,Clothing,5,2253.6,1850.9,402.7,C366,North,Sunday,Autumn
05/20/2023,1194,5001,Buy 1 Get 1,P056,Furniture,8,1334.16,1185.6,148.56,C917,West,Wednesday,Summer
09/12/23,1195,5001,Buy 1 Get 1,P067,Groceries,2,917.36,755.6,161.76,C745,West,Monday,Winter
11/05/23,1196,5000,Free Shipping,P038,Groceries,2,1074.4,990.7,83.7,C082,East,Saturday,Autumn
06/06/23,1197,5000,Free Shipping,P092,Furniture,3,810.45,576.87,233.58,C707,West,Wednesday,Winter
01/22/2023,1198,5000,Free Shipping,P056,Groceries,1,270.13,176.99,93.14,C077,West,Wednesday,Summer
01/16/2023,1199,5000,Free Shipping,P087,Furniture,1,474.09,430.62,43.47,C130,North,Tuesday,Autumn
07/05/23,1200,5000,Free Shipping,P005,Toys,3,1360.89,1133.79,227.1,C696,West,Wednesday,Autumn
08/16/2023,1201,5000,Free Shipping,P018,Toys,6,905.28,363.18,542.1,C408,East,Saturday,Autumn
05/08/23,1202,5002,10% off,P095,Clothing,8,2723.12,2060.56,662.56,C531,West,Friday,Spring
05/15/2023,1203,5003,30% off,P028,Toys,5,1282.4,834.1,448.3,C711,West,Tuesday,Spring
03/11/23,1204,5003,30% off,P023,Furniture,2,405.56,401.42,4.14,C830,East,Saturday,Autumn
12/30/2023,1205,5000,Free Shipping,P070,Groceries,5,2318.4,2268.2,50.2,C872,South,Saturday,Summer
07/05/23,1206,5005,20% off,P016,Clothing,3,784.56,499.38,285.18,C243,West,Monday,Autumn
10/11/23,1207,5001,Buy 1 Get 1,P060,Toys,3,1600.71,1427.4,173.31,C627,North,Monday,Autumn
07/23/2023,1208,5000,Free Shipping,P053,Furniture,10,3650,3196,454,C076,South,Wednesday,Spring
08/19/2023,1209,5000,Free Shipping,P045,Clothing,9,1684.89,1383.03,301.86,C656,South,Sunday,Summer
08/10/23,1210,5002,10% off,P016,Toys,3,1245.06,1018.59,226.47,C312,South,Tuesday,Autumn
12/30/2023,1211,5001,Buy 1 Get 1,P067,Groceries,2,954.08,795.74,158.34,C257,South,Saturday,Autumn
03/06/23,1212,5000,Free Shipping,P069,Electronics,9,941.76,492.21,449.55,C657,South,Friday,Summer
03/29/2023,1213,5000,Free Shipping,P044,Toys,1,93.6,38.2,55.4,C846,North,Monday,Spring
11/25/2023,1214,5001,Buy 1 Get 1,P084,Clothing,10,3152.3,2263.5,888.8,C427,North,Thursday,Autumn
11/25/2023,1215,5003,30% off,P032,Furniture,5,972.7,909.75,62.95,C465,North,Saturday,Spring
03/22/2023,1216,5003,30% off,P062,Furniture,4,625.84,320.28,305.56,C349,South,Wednesday,Autumn
06/26/2023,1217,5005,20% off,P098,Groceries,9,2915.46,2816.37,99.09,C576,North,Wednesday,Summer
08/27/2023,1218,5001,Buy 1 Get 1,P058,Clothing,3,364.83,153.63,211.2,C100,North,Wednesday,Winter
11/12/23,1219,5005,20% off,P021,Groceries,10,1280.1,456.5,823.6,C739,East,Tuesday,Summer
09/13/2023,1220,5003,30% off,P064,Groceries,8,2920.88,2848.48,72.4,C024,North,Thursday,Winter
05/04/23,1221,5000,Free Shipping,P046,Electronics,1,150.25,51.57,98.68,C289,West,Friday,Winter
05/27/2023,1222,5002,10% off,P014,Furniture,3,693.24,580.17,113.07,C904,East,Saturday,Autumn
07/26/2023,1223,5002,10% off,P052,Electronics,10,5030.5,4082.7,947.8,C576,South,Wednesday,Autumn
02/07/23,1224,5000,Free Shipping,P058,Toys,5,2843.6,2465.7,377.9,C846,North,Tuesday,Spring
07/21/2023,1225,5001,Buy 1 Get 1,P072,Groceries,3,610.92,583.11,27.81,C204,West,Friday,Spring
01/24/2023,1226,5005,20% off,P092,Groceries,8,3576.64,3126.4,450.24,C532,West,Tuesday,Summer
06/17/2023,1227,5001,Buy 1 Get 1,P021,Furniture,10,3086,2178.7,907.3,C758,East,Friday,Autumn
09/17/2023,1228,5000,Free Shipping,P063,Toys,5,571.3,322.45,248.85,C487,North,Wednesday,Autumn
12/11/23,1229,5003,30% off,P075,Groceries,1,62.96,15.56,47.4,C612,West,Wednesday,Summer
01/27/2023,1230,5003,30% off,P022,Toys,10,503.5,375.9,127.6,C794,West,Tuesday,Summer
01/17/2023,1231,5002,10% off,P025,Electronics,8,1062.88,540.72,522.16,C322,West,Tuesday,Winter
12/20/2023,1232,5003,30% off,P065,Toys,8,3474.48,3004.48,470,C894,North,Saturday,Summer
09/23/2023,1233,5000,Free Shipping,P042,Furniture,9,4676.13,4333.14,342.99,C386,East,Tuesday,Winter
09/30/2023,1234,5000,Free Shipping,P046,Groceries,10,2369.9,1500,869.9,C496,South,Tuesday,Autumn
10/13/2023,1235,5005,20% off,P039,Groceries,4,863.68,478.24,385.44,C707,West,Wednesday,Winter
06/28/2023,1236,5001,Buy 1 Get 1,P037,Electronics,10,1129.8,159.6,970.2,C693,West,Thursday,Autumn
03/16/2023,1237,5002,10% off,P037,Electronics,6,722.22,186.9,535.32,C947,West,Saturday,Autumn
09/03/23,1238,5005,20% off,P069,Groceries,9,3310.83,2417.13,893.7,C713,East,Tuesday,Spring
11/12/23,1239,5005,20% off,P032,Electronics,9,917.91,415.44,502.47,C232,South,Monday,Spring
07/31/2023,1240,5003,30% off,P013,Clothing,1,537.75,484.96,52.79,C988,South,Thursday,Winter
09/02/23,1241,5001,Buy 1 Get 1,P042,Groceries,1,388.29,318.41,69.88,C930,North,Saturday,Summer
10/01/23,1242,5005,20% off,P054,Clothing,1,295.86,232.73,63.13,C857,West,Sunday,Winter
04/06/23,1243,5002,10% off,P002,Groceries,10,3865.2,2963.1,902.1,C618,North,Wednesday,Autumn
08/21/2023,1244,5000,Free Shipping,P064,Clothing,9,549.81,290.43,259.38,C480,East,Tuesday,Spring
06/19/2023,1245,5003,30% off,P083,Groceries,3,1694.52,1427.1,267.42,C015,East,Sunday,Autumn
10/18/2023,1246,5005,20% off,P079,Furniture,7,2069.62,1632.89,436.73,C528,East,Monday,Winter
12/09/23,1247,5005,20% off,P018,Furniture,6,993.24,875.52,117.72,C959,South,Monday,Autumn
07/16/2023,1248,5003,30% off,P097,Groceries,6,1639.14,1423.26,215.88,C310,North,Wednesday,Autumn
